iter	Passed	Remaining
141	6427	38835
142	6467	38757
143	6507	38685
144	6546	38602
145	6594	38570
146	6637	38512
147	6677	38442
148	6726	38415
149	6746	38227
150	6787	38162
151	6842	38173
152	6856	37955
153	6896	37884
154	6935	37811
155	6975	37737
156	7016	37673
157	7055	37597
158	7093	37519
159	7139	37483
160	7181	37425
161	7223	37367
162	7264	37304
163	7305	37238
164	7347	37183
165	7388	37121
166	7428	37055
167	7469	36989
168	7509	36923
169	7548	36852
170	7588	36789
171	7634	36750
172	7679	36708
173	7720	36648
174	7761	36589
175	7802	36531
176	7844	36473
177	7885	36414
178	7926	36355
179	7968	36299
180	8022	36301
181	8066	36252
182	8107	36193
183	8148	36135
184	8189	36078
185	8230	36019
186	8268	35948
187	8307	35881
188	8348	35822
189	8389	35764
190	8429	35705
191	8472	35656
192	8515	35605
193	8555	35545
194	8597	35491
195	8638	35436
196	8679	35379
197	8719	35318
198	8758	35252
199	8799	35198
200	8839	35139
201	8880	35082
202	8920	35023
203	8962	34969
204	9004	34918
205	9045	34864
206	9087	34812
207	9126	34749
208	9165	34688
209	9205	34630
210	9246	34574
211	9287	34522
212	9327	34464
213	9369	34413
214	9411	34362
215	9452	34310
216	9495	34262
217	9533	34197
218	9573	34141
219	9612	34081
220	9653	34027
221	9696	33980
222	9736	33924
223	9777	33871
224	9817	33817
225	9858	33762
226	9897	33704
227	9937	33648
228	9978	33596
229	10020	33545
230	10061	33493
231	10102	33442
232	10144	33393
233	10184	33339
234	10235	33318
235	10275	33265
236	10317	33215
237	10358	33164
238	10407	33137
239	10462	33129
240	10501	33072
241	10542	33022
242	10582	32967
243	10623	32914
244	10661	32854
245	10706	32816
246	10745	32758
247	10798	32745
248	10839	32691
249	10877	32632
250	10918	32581
251	10959	32529
252	11002	32484
253	11052	32460
254	11098	32424
255	11139	32372
256	11178	32317
257	11218	32264
258	11259	32213
259	11298	32157
260	11340	32108
261	11380	32056
262	11420	32003
263	11461	31954
264	11502	31902
265	11543	31852
266	11582	31798
267	11623	31747
268	11665	31699
269	11706	31650
270	11751	31611
271	11793	31565
272	11835	31516
273	11875	31467
274	11917	31419
275	11958	31368
276	11997	31315
277	12036	31260
278	12077	31211
279	12118	31163
280	12160	31114
281	12202	31069
282	12243	31018
283	12284	30970
284	12325	30922
285	12367	30875
286	12409	30828
287	12450	30779
288	12492	30733
289	12533	30685
290	12576	30641
291	12616	30591
292	12657	30541
293	12697	30491
294	12737	30440
295	12781	30399
296	12823	30353
297	12865	30307
298	12912	30273
299	12955	30228
300	12996	30181
301	13036	30130
302	13077	30082
303	13116	30030
304	13158	29984
305	13199	29935
306	13241	29890
307	13280	29837
308	13320	29788
309	13361	29739
310	13403	29694
311	13443	29645
312	13484	29597
313	13527	29553
314	13579	29529
315	13624	29490
316	13666	29445
317	13707	29398
318	13748	29350
319	13790	29305
320	13831	29257
321	13871	29208
322	13912	29160
323	13952	29111
324	13992	29060
325	14032	29011
326	14080	28980
327	14129	28948
328	14170	28901
329	14211	28854
330	14252	28806
331	14305	28782
332	14343	28730
333	14388	28691
334	14429	28643
335	14470	28595
336	14512	28550
337	14553	28504
338	14597	28462
339	14638	28415
340	14679	28368
341	14722	28325
342	14764	28280
343	14805	28233
344	14845	28184
345	14885	28135
346	14926	28088
347	14969	28045
348	15008	27996
349	15051	27952
350	15093	27907
351	15133	27859
352	15174	27813
353	15217	27769
354	15257	27721
355	15296	27670
356	15336	27623
357	15377	27576
358	15415	27524
359	15454	27475
360	15496	27430
361	15538	27385
362	15578	27338
363	15622	27295
364	15665	27252
365	15705	27206
366	15746	27159
367	15785	27110
368	15827	27065
369	15868	27020
370	15910	26975
371	15951	26929
372	15993	26884
373	16034	26838
374	16076	26793
375	16126	26762
376	16166	26715
377	16210	26674
378	16250	26626
379	16290	26578
380	16331	26533
381	16373	26489
382	16414	26443
383	16454	26395
384	16495	26350
385	16537	26305
386	16587	26273
387	16627	26227
388	16670	26183
389	16711	26137
390	16752	26093
391	16793	26046
392	16832	25998
393	16873	25952
394	16912	25903
395	16952	25857
396	16994	25812
397	17035	25767
398	17078	25724
399	17133	25700
