city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
杭州,整租·绿城春风金沙 4室2厅 东南/南,整租,钱塘区,金沙湖,绿城春风金沙,127.17,4,2,2,东南 南,高,30,近地铁|精装|双卫生间,,3天前维护,8000
杭州,整租·南湖大厦 1室1厅 北,整租,余杭区,中泰,南湖大厦,46.0,1,1,1,北,低,22,随时看房,,1天前维护,1000
杭州,独栋·华皙 九堡VV新禾联创 精装LOFT可短租 1室1厅,独栋,,,,30.0,1,1,1,,,0,独栋公寓|月租|精装|押一付一,华皙,2个月前维护,1650
杭州,合租·滨江江南之星 5居室 南卧,合租,萧山区,萧山新城区,滨江江南之星,16.71,5,1,5,南,低,34,新上|公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,自如,今天维护,2090
杭州,合租·滨江德信东方星城 5居室 南卧,合租,上城区,城东新城,滨江德信东方星城,13.4,5,1,3,南,低,17,新上|公寓|拎包入住|精装|独立阳台|押一付一|随时看房,自如,今天维护,1530
杭州,整租·裕园公寓 2室1厅 南,整租,钱塘区,高教园区西,裕园公寓,67.3,2,1,1,南,高,7,自营|新上|押一付一|随时看房|首次出租,贝壳优选,今天维护,2300
杭州,整租·起梦科创数字园区 1室1厅 东,整租,余杭区,良渚,起梦科创数字园区,45.06,1,1,1,东,中,22,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,2200
杭州,合租·城北尚博苑一区 1居室 南卧,合租,萧山区,萧山新城区,城北尚博苑一区,50.0,1,1,1,南,高,28,精装,,2天前维护,2500
杭州,整租·东哲云邸 2室1厅 北,整租,余杭区,万达广场,东哲云邸,34.41,2,1,1,北,中,11,新上|精装|押一付一|随时看房|首次出租,,今天维护,2000
杭州,独栋·杭州银城佳遇 三墩店 无中介费精装可月付押一付一 1室1厅,独栋,,,,28.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,杭州银城佳遇,19天前维护,1300
杭州,整租·钱塘帝景 3室2厅 南,整租,滨江区,彩虹城,钱塘帝景,88.65,3,2,1,南,低,45,自营|新上|精装|押一付一|随时看房|首次出租,贝壳优选,今天维护,6200
杭州,合租·滨江江南之星 5居室 南卧,合租,萧山区,萧山新城区,滨江江南之星,16.71,5,1,5,南,低,34,新上|公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,自如,今天维护,2090
杭州,整租·E30中心 1室1厅 北,整租,西湖区,三墩,E30中心,37.62,1,1,1,北,高,19,新上|押一付一|随时看房|首次出租,,今天维护,1500
杭州,整租·碧天家园 3室2厅 南,整租,临平区,临平新城,碧天家园,132.0,3,2,2,南,中,6,精装|双卫生间|随时看房,,4天前维护,3200
杭州,整租·金沙居 2室1厅 南,整租,钱塘区,高教园区东,金沙居,68.11,2,1,1,南,高,18,自营|新上|近地铁|押一付一|随时看房|首次出租,贝壳优选,今天维护,2300
杭州,合租·滨江德信东方星城 5居室 南卧,合租,上城区,城东新城,滨江德信东方星城,13.4,5,1,3,南,低,17,新上|公寓|拎包入住|精装|独立阳台|押一付一|随时看房,自如,今天维护,1530
