city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
成都,整租·钢管厂三区 1室0厅 西北,整租,成华,万象城,钢管厂三区,50.13,1,0,1,西北,低,8,权属核验|近地铁|随时看房,,,1100
成都,整租·九街广场 3室1厅 东,整租,新都,新都城区,九街广场,72.66,3,1,1,东,低,33,权属核验|近地铁|精装|随时看房,,,1624
成都,整租·虹波巷29号 1室1厅 东南,整租,成华,李家沱,虹波巷29号,54.52,1,1,1,东南,中,6,权属核验|近地铁|随时看房,,2天前维护,1500
成都,整租·珑山樾 3室2厅 东南,整租,新都,大丰,珑山樾,122.0,3,2,2,东南,低,27,权属核验|双卫生间|随时看房,链家,4天前维护,1600
成都,整租·雅居乐锦城 3室2厅 南,整租,新津区,五津,雅居乐锦城,109.58,3,2,2,南,低,23,权属核验|精装|双卫生间|随时看房,,4天前维护,1500
成都,整租·新城吾悦华府 1室1厅 东南,整租,龙泉驿,东安湖,新城吾悦华府,49.8,1,1,1,东南,高,26,权属核验|近地铁|精装|随时看房,链家,3天前维护,1600
成都,整租·金房云庐 1室1厅 跃层 东南,整租,武侯,红牌楼,金房云庐,182.09,1,1,0,东南,高,8,权属核验|近地铁|随时看房,链家,,3800
成都,独栋·龙湖冠寓 龙湖冠寓成都西站店 【青羊短租特惠 夏尔成飞雅思学习】限时短租长租价！无中介+可月付+双地铁+可开票！打工人学生党狂喜！ 开间,独栋,,,,30.0,1,0,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,龙湖冠寓,今天维护,1413
成都,整租·宗申赛纳维 3室1厅 南,整租,双流,蛟龙港,宗申赛纳维,84.42,3,1,1,南,低,12,权属核验|随时看房,,1天前维护,1500
成都,合租·热电厂宿舍 3居室 南卧,合租,成华,万象城,热电厂宿舍,11.0,3,1,2,南,中,7,权属核验|公寓|拎包入住|精装|押一付一|随时看房,美家寓,1天前维护,650
成都,整租·香榭美邻三期 4室1厅 南/北,整租,双流,蛟龙港,香榭美邻三期,34.0,4,1,1,南 北,高,11,精装|随时看房,链家,3天前维护,1800
成都,独栋·人人租房 嘉年华青年城 0中介欧洲中心软件园套一天府五街抖音大厦江景房 1室1厅,独栋,,,,35.0,1,1,1,,,0,新上|独栋公寓|月租|精装|开放厨房,人人租房,6天前维护,1330
成都,整租·福泉中心 2室1厅 东南,整租,龙泉驿,航天,福泉中心,80.2,2,1,1,东南,高,26,权属核验|精装|随时看房,,,1400
成都,合租·家益欣城 5居室 西卧,合租,天府新区,华阳,家益欣城,12.0,5,1,1,西,高,25,权属核验|随时看房,链家,,850
成都,整租·华润二十四城二期 2室1厅 西,整租,成华,万象城,华润二十四城二期,83.3,2,1,1,西,高,32,权属核验|近地铁|精装|随时看房,链家,4天前维护,3200
成都,整租·我的大学 1室0厅 东南/南,整租,新都,新都城区,我的大学,34.38,1,0,1,东南 南,高,24,权属核验|近地铁|随时看房,,,600
成都,整租·IMC国际广场 1室1厅 南,整租,高新,桂溪生态公园西区,IMC国际广场,48.84,1,1,1,南,高,19,权属核验|近地铁|精装,,3天前维护,2800
成都,整租·滨江栖棠 3室1厅 南,整租,天府新区,麓山,滨江栖棠,68.0,3,1,1,南,低,34,权属核验|精装|随时看房,,,2500
成都,整租·安象街56号大院 2室1厅 东南,整租,简阳,城北片区,安象街56号大院,73.84,2,1,1,东南,高,8,权属核验,,4天前维护,600
成都,独栋·龙湖冠寓 龙湖冠寓成都西站店 【西南财大】培训雅思托福福音来啦 可短租可月付 0中介 4号线成都西站旁 开间,独栋,,,,28.84,1,0,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,龙湖冠寓,今天维护,1417
成都,整租·万科金域蓝湾一期 4室2厅 南/北,整租,成华,建设路,万科金域蓝湾一期,91.04,4,2,2,南 北,低,35,权属核验|近地铁|精装|双卫生间,链家,,5850
成都,合租·欣茂西郡兰庭B区 1居室 东南卧,合租,郫都区,犀浦,欣茂西郡兰庭B区,12.0,1,1,1,东南,高,17,权属核验|近地铁|精装|随时看房,链家,,950
成都,整租·联盟北路78号 3室2厅 南,整租,都江堰,都江堰城区,联盟北路78号,120.57,3,2,2,南,中,4,权属核验|双卫生间|随时看房,,,1100
成都,整租·红阳二小区 2室1厅 东,整租,青白江,青白江,红阳二小区,100.18,2,1,1,东,高,7,权属核验|月租|随时看房,,,550
成都,整租·千漾山 3室1厅 东南,整租,都江堰,都江堰万达,千漾山,88.9,3,1,1,东南,高,13,权属核验|精装|随时看房,,1天前维护,1200
成都,合租·招商雍华府二期 4居室 南卧,合租,成华,驷马桥,招商雍华府二期,16.5,4,1,1,南,中,23,权属核验|公寓|月租|近地铁|精装|押一付一|随时看房,美家寓,今天维护,880
成都,整租·中港·东湖壹号 5室2厅 西,整租,锦江,东湖,中港·东湖壹号,150.0,5,2,4,西,低,32,权属核验|近地铁|精装|随时看房,,,6000
成都,整租·龙城1号 1室1厅 南,整租,龙泉驿,大面,龙城1号,21.63,1,1,1,南,中,24,权属核验|随时看房,链家,3天前维护,1350
成都,整租·中铁天圆卓越广场 1室1厅 东,整租,天府新区,天府公园东,中铁天圆卓越广场,41.81,1,1,1,东,低,19,权属核验|近地铁|精装|随时看房,链家,3天前维护,2000
成都,整租·蓝润天府MIC 1室1厅 南,整租,天府新区,南湖,蓝润天府MIC,30.8,1,1,1,南,中,22,权属核验|近地铁|精装|随时看房,链家,,1800
成都,整租·缤纷时代广场 1室1厅 东南,整租,新都,新都城区,缤纷时代广场,38.33,1,1,1,东南,高,15,权属核验|近地铁|精装|随时看房,,,1100
成都,整租·天府汇中心 3室2厅 西南,整租,武侯,川音,天府汇中心,153.17,3,2,2,西南,中,37,权属核验|近地铁|精装|双卫生间,链家,2天前维护,15000
成都,合租·上池正街108号 4居室 东南卧,合租,青羊,人民公园,上池正街108号,30.0,4,3,3,东南,中,7,权属核验|近地铁|精装|随时看房,链家,,2500
成都,整租·保利天空之城泊院北区 3室1厅 跃层 东,整租,天府新区,天府前湾,保利天空之城泊院北区,175.14,3,1,4,东,中,4,权属核验|近地铁|随时看房,,,9400
成都,整租·师大现代花园 1室0厅 东南,整租,龙泉驿,大面,师大现代花园,47.38,1,0,1,东南,高,32,权属核验|精装|随时看房,链家,,1150
成都,整租·营门口路523号 3室1厅 东南,整租,金牛,营门口,营门口路523号,101.38,3,1,1,东南,高,6,权属核验|近地铁|随时看房,链家,,1900
成都,整租·美华大厦 1室1厅 东南,整租,锦江,盐市口,美华大厦,103.48,1,1,1,东南,中,16,权属核验|近地铁|随时看房,链家,,3600
成都,整租·都市人家一期 2室1厅 东南,整租,金牛,抚琴小区,都市人家一期,66.95,2,1,1,东南,高,7,权属核验|近地铁|随时看房,链家,,1650
成都,整租·华霖金贸商厦 1室1厅 西南,整租,金牛,五块石,华霖金贸商厦,50.03,1,1,1,西南,中,19,权属核验|近地铁|精装|随时看房,,,1500
成都,整租·誉峰一期 3室2厅 西南,整租,高新,金融城,誉峰一期,219.55,3,2,4,西南,中,24,权属核验|近地铁|精装|随时看房,链家,,22000
成都,整租·中海天府里云岭二期 3室2厅 东,整租,天府新区,天府公园东,中海天府里云岭二期,106.03,3,2,2,东,中,38,权属核验|精装|双卫生间|随时看房,,2天前维护,3200
成都,整租·汇厦沙河锦庭二期 3室2厅 东,整租,成华,万象城,汇厦沙河锦庭二期,78.26,3,2,1,东,低,31,权属核验|精装|随时看房,,2天前维护,3000
成都,整租·天投北鑫苑南区 4室2厅 南,整租,天府新区,兴隆湖,天投北鑫苑南区,180.26,4,2,2,南,中,18,权属核验|近地铁|双卫生间|随时看房,,,3500
成都,合租·海会花园 1居室 东卧,合租,武侯,川音,海会花园,32.0,1,0,1,东,高,7,权属核验|近地铁|精装,链家,2天前维护,1400
成都,整租·西体路 2室1厅 东南,整租,金牛,花牌坊,西体路,54.11,2,1,1,东南,高,6,权属核验|近地铁,链家,,1800
成都,整租·时代晶科名苑 2室1厅 南,整租,高新,市一医院,时代晶科名苑,108.35,2,1,2,南,高,20,权属核验|近地铁|精装|双卫生间|随时看房,,,4200
成都,整租·恩威玲珑南域 2室1厅 东南,整租,高新,新北,恩威玲珑南域,81.93,2,1,1,东南,低,16,权属核验|近地铁|精装,链家,,3000
成都,整租·万科金库 1室0厅 东,整租,成华,成渝立交,万科金库,61.6,1,0,1,东,中,20,权属核验|近地铁|精装|随时看房,链家,3天前维护,6500
成都,整租·仁美大源印象 1室1厅 东南,整租,高新,大源-保利心语,仁美大源印象,44.79,1,1,1,东南,中,30,权属核验|近地铁,链家,4天前维护,1700
成都,整租·富力桃园B区 2室1厅 东南,整租,新都,毗河,富力桃园B区,82.52,2,1,1,东南,高,32,权属核验|近地铁|精装|随时看房,链家,,1200
成都,整租·郭家桥北街2号院 2室1厅 南,整租,武侯,川大,郭家桥北街2号院,58.03,2,1,1,南,低,6,权属核验|精装|随时看房,链家,2天前维护,3000
成都,整租·新驿村 3室1厅 东南,整租,龙泉驿,航天,新驿村,94.78,3,1,1,东南,低,3,权属核验|近地铁|随时看房,,5天前维护,1000
成都,整租·融创香璟台东苑三期 2室1厅 东,整租,高新,新川南,融创香璟台东苑三期,38.0,2,1,1,东,高,20,权属核验|近地铁|精装|随时看房,,,2300
成都,合租·香楠湖 2居室 东/东南卧,合租,双流,双流城区,香楠湖,61.12,2,1,1,东 东南,高,16,权属核验,,,900
成都,整租·龙城国际五期 1室1厅 南,整租,郫都区,橡树湾,龙城国际五期,32.57,1,1,1,南,中,28,权属核验|近地铁|精装|随时看房,,,1200
成都,整租·首创天禧68 4室1厅 南,整租,成华,八里小区,首创天禧68,136.0,4,1,2,南,高,33,权属核验|近地铁|精装|双卫生间,链家,,6500
成都,整租·站西桥东巷10号 2室1厅 东南,整租,金牛,五块石,站西桥东巷10号,51.66,2,1,1,东南,中,6,权属核验|近地铁|精装|随时看房,,,1600
成都,整租·天府公园观澜9号云岸 4室1厅 南,整租,天府新区,兴隆湖,天府公园观澜9号云岸,145.78,4,1,2,南,高,15,权属核验|双卫生间|随时看房,链家,,1200
成都,整租·恒大御龙天峰 3室2厅 南,整租,龙泉驿,阳光城,恒大御龙天峰,101.44,3,2,1,南,高,33,权属核验|精装|随时看房,,,1900
