city,title,rent_type,district,sub_district,community,area_sqm,bedrooms,living_rooms,bathrooms,orientation,floor_level,total_floors,tags,platform,update_time,price_rmb
厦门,独栋·泊寓 湖里保税区店 【山姆附近租房】押一付一·24h全天服务·周边美食丰富·智能门锁 1室1厅,独栋,,,,23.0,1,1,1,,,0,新上|独栋公寓|月租|拎包入住|精装|开放厨房|押一付一,泊寓,6天前维护,1503
厦门,整租·尚峰国际 1室0厅 南,整租,思明,观音山,尚峰国际,25.0,1,0,1,南,高,22,近地铁|随时看房,,1天前维护,1700
厦门,独栋·泊寓 湖里保税区店 【近联发文创口岸】阳光优选·精装loft·无甲醛·安心住 1室1厅,独栋,,,,28.0,1,1,1,,,0,新上|独栋公寓|月租|精装|有阳台|开放厨房|押一付一,泊寓,6天前维护,1956
厦门,整租·恒祥新苑 3室2厅 东,整租,湖里,机场区,恒祥新苑,128.0,3,2,2,东,低,13,近地铁|精装|双卫生间,,3天前维护,4600
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【优惠4800】阳光一居室 1室1厅,独栋,,,,35.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,长洲青年社区,6天前维护,1759
厦门,合租·和谐天下 5居室 南/西卧,合租,同安,环东海域,和谐天下,25.0,5,5,5,南 西,低,27,精装|随时看房,,,1000
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【金秋】岭兜地铁站18-2宽敞一居室 1室1厅,独栋,,,,30.0,1,1,1,,,0,官方核验|独栋公寓|月租|拎包入住|近地铁|精装|有阳台|押一付一,长洲青年社区,5天前维护,1709
厦门,整租·金星大厦 1室1厅 东南,整租,思明,七星路,金星大厦,25.0,1,1,1,东南,低,11,近地铁|精装,,,1350
厦门,独栋·长洲青年社区 软件园店（岭兜地铁站） 【新年折上折】落地窗城景房，一个月起租 1室1厅,独栋,,,,25.0,1,1,1,,,0,官方核验|独栋公寓|月租|拎包入住|近地铁|精装|押一付一,长洲青年社区,7天前维护,1700
厦门,合租·和谐天下 5居室 南/西卧,合租,同安,环东海域,和谐天下,25.0,5,5,5,南 西,低,27,精装|随时看房,,,1000
厦门,独栋·厦门思寓 A+公寓 大复式 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,厦门思寓,14天前维护,1680
厦门,整租·保利·天汇 2室2厅 南,整租,同安,同安其它,保利·天汇,56.0,2,2,1,南,高,18,精装,,5天前维护,2400
厦门,独栋·厦门思寓 A+公寓 E户型复式一房一厅 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|近地铁|精装|有阳台|开放厨房|押一付一,厦门思寓,14天前维护,1399-1680
厦门,整租·新华路 1室0厅 东南,整租,思明,实验小学及周边,新华路,15.0,1,0,1,东南,中,5,近地铁,,,1250
厦门,独栋·厦门思寓 A+公寓 精装复式 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|近地铁|精装|有阳台|开放厨房|押一付一,厦门思寓,14天前维护,1399
厦门,合租·古龙御景二期 6居室 南卧,合租,集美,集美其它,古龙御景二期,30.0,6,1,1,南,高,23,随时看房,,1天前维护,700
厦门,独栋·厦门思寓 A+公寓 2号楼3楼朝南 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,厦门思寓,14天前维护,1780
厦门,整租·南山路 1室0厅 北,整租,湖里,南山路,南山路,20.0,1,0,1,北,低,1,近地铁|精装|押一付一|随时看房,,,1500
厦门,独栋·厦门思寓 A+公寓 39号朝西户型 1室1厅,独栋,,,,20.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|开放厨房|押一付一,厦门思寓,14天前维护,1200
厦门,整租·豆仔尾路 2室1厅 南/北,整租,思明,公园小学及周边,豆仔尾路,50.0,2,1,1,南 北,低,6,精装|随时看房,,1天前维护,2500
厦门,独栋·厦门思寓 玉岭店 【毕业特惠季】边套大单间 近SM 无中介 拎包入住 1室1厅,独栋,,,,30.0,1,1,1,,,0,独栋公寓|月租|精装|有阳台|押一付一,厦门思寓,14天前维护,2000
厦门,整租·厦航同城湾 3室2厅 南,整租,同安,同安其它,厦航同城湾,98.9,3,2,1,南,低,18,精装,,,2000
厦门,独栋·时代公寓 湖里大道店 免中介费精装可短租温馨单间 1室1厅,独栋,,,,35.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,时代公寓,9个月前维护,1700
厦门,整租·海晟颐翔湾 4室2厅 南,整租,翔安,新店,海晟颐翔湾,134.7,4,2,3,南,高,33,精装|随时看房,,今天维护,2800
厦门,整租·万华国际 6室1厅 东/西南,整租,湖里,万达广场,万华国际,278.0,6,1,0,东 西南,高,26,精装,,,18904
厦门,整租·岳阳西里 1室0厅 南,整租,思明,岳阳社区,岳阳西里,30.0,1,0,1,南,低,2,近地铁|精装|随时看房,,2天前维护,1750
厦门,独栋·松宿公寓 软件园店 押一付一可短租软二毕业生免中介特惠复式 1室1厅,独栋,,,,25.0,1,1,1,,,0,独栋公寓|月租|近地铁|精装|有阳台|开放厨房|押一付一,松宿公寓,1个月前维护,1499
厦门,整租·何厝海璟 3室2厅 南,整租,思明,观音山,何厝海璟,109.0,3,2,2,南,中,33,近地铁|精装|双卫生间|随时看房,,,5000
厦门,整租·图强小区 2室2厅 南/北,整租,思明,实验小学及周边,图强小区,77.0,2,2,1,南 北,高,6,近地铁|精装,,5天前维护,5600
厦门,整租·海翼0592 2室2厅 南,整租,翔安,马巷,海翼0592,78.0,2,2,1,南,低,33,精装,,5天前维护,2200
厦门,独栋·悠筑公寓 九天湖店 1-3杏林湾营运中心软三，精装复式带阳台，直租无中介采光好 1室1厅,独栋,,,,30.0,1,1,1,,,0,独栋公寓|精装|有阳台|开放厨房|押一付一,悠筑公寓,1个月前维护,980
厦门,整租·中铁诺德逸都 4室2厅 南,整租,同安,同安区,中铁诺德逸都,132.0,4,2,2,南,高,18,双卫生间|随时看房,,2天前维护,2300
厦门,独栋·时代公寓 地铁口店 免中介费朝南带阳台大单间 1室1厅,独栋,,,,38.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,时代公寓,9个月前维护,2200
厦门,整租·创想中心 2室1厅 北,整租,思明,软件园,创想中心,113.72,2,1,0,北,中,29,近地铁|精装,,3天前维护,8362
厦门,独栋·蔡塘悦舍 悦舍南院店 精装大一房 1室1厅,独栋,,,,40.0,1,1,1,,,0,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,蔡塘悦舍,8天前维护,1800-2000
厦门,整租·福津大街（双涵路117-127） 2室2厅 南/北,整租,思明,富山,福津大街（双涵路117-127）,75.0,2,2,1,南 北,中,8,近地铁|随时看房,,,3000
